slide,mouse_line,sample,animal_number,sample_ID,genotype_long,bmfz_sample
V11B04-025_A1,1955,KO,283075,643-1,iAdipoQCre_ATGL_het_flox_KO,643-1_A1_manualAlignment2
V11B04-025_B1,1955,Control,283076,643-2,iAdipoQCre_ATGL_homo_flox_wt,643-2_B1
